Sheet: data
Drug | Event | US EB05 20220708 | US Serious EB05 20220708 | US Fatal EB05 20220708 | US Infant EB05 20220708 | US Child EB05 20220708 | US Teen EB05 20220708 | US Adult1 EB05 20220708 | US Adult2 EB05 20220708 | US Adult3 EB05 20220708 | US Female EB05 20220708 | US Male EB05 20220708
COVID19 (COVID19 (JANSSEN)) | Activated partial thromboplastin time prolonged | 2.025 | 1.488 | 0.92 |  |  | 0.375 | 1.489 | 1.891 | 1.958 | 2.668 | 1.372
COVID19 (COVID19 (JANSSEN)) | Activated partial thromboplastin time shortened | 2.013 | 1.479 | 0.868 |  |  |  | 1.53 | 1.965 | 1.982 | 2.671 | 1.364
COVID19 (COVID19 (JANSSEN)) | Acute respiratory distress syndrome | 2.048 | 1.288 | 0.984 |  |  |  | 0.768 | 1.745 | 1.741 | 1.586 | 1.892
COVID19 (COVID19 (JANSSEN)) | Acute respiratory failure | 2.144 | 1.327 | 1.033 |  |  | 0.45 | 1.529 | 2.093 | 2.011 | 2.434 | 1.817
COVID19 (COVID19 (JANSSEN)) | Adverse drug reaction | 3.392 | 0.986 | 0.879 |  |  | 0.522 | 0.949 | 0.701 | 0.736 | 2.65 | 1.439
COVID19 (COVID19 (JANSSEN)) | Adverse event | 2.647 | 1.106 | 0.885 |  |  |  | 0.864 | 0.907 | 0.832 | 1.895 | 1.732
COVID19 (COVID19 (JANSSEN)) | Angiogram abnormal | 1.898 | 1.25 | 0.902 |  |  |  | 1.462 | 1.435 | 1.67 | 2.092 | 1.309
COVID19 (COVID19 (JANSSEN)) | Angiogram cerebral abnormal | 2.505 | 1.76 | 0.905 |  |  | 0.484 | 2.359 | 1.92 | 2.041 | 3.282 | 1.512
COVID19 (COVID19 (JANSSEN)) | Angiogram cerebral normal | 2.089 | 1.389 | 0.88 |  |  |  | 1.781 | 1.829 | 1.221 | 2.143 | 1.521
COVID19 (COVID19 (JANSSEN)) | Angiogram pulmonary abnormal | 2.299 | 1.602 | 0.907 | 0.62 |  | 0.408 | 1.707 | 2.211 | 2.224 | 2.451 | 1.978
COVID19 (COVID19 (JANSSEN)) | Anion gap decreased | 1.79 | 1.34 | 0.909 |  |  | 0.351 | 1.138 | 2.14 | 1.517 | 2.143 | 1.306
COVID19 (COVID19 (JANSSEN)) | Antibody test | 2.173 | 0.829 | 0.875 |  |  | 0.566 | 0.864 | 1.592 | 2.129 | 2.079 | 1.683
COVID19 (COVID19 (JANSSEN)) | Anticoagulant therapy | 2.186 | 1.451 | 0.974 | 0.62 |  | 0.408 | 1.842 | 2.043 | 2.263 | 2.741 | 1.684
COVID19 (COVID19 (JANSSEN)) | Application site pain | 2.009 |  |  |  |  |  | 0.561 | 0.636 | 0.678 | 1.037 | 0.764
COVID19 (COVID19 (JANSSEN)) | Areflexia | 2.042 | 1.639 | 0.895 |  |  |  | 0.964 | 2.23 | 1.302 | 2.133 | 1.418
COVID19 (COVID19 (JANSSEN)) | Arteriogram carotid abnormal | 1.792 | 1.128 | 0.878 |  |  |  | 1.186 | 1.2 | 1.398 | 2.136 | 0.962
COVID19 (COVID19 (JANSSEN)) | Basophil count decreased | 1.824 | 1.332 | 0.932 | 0.617 |  | 0.348 | 1.104 | 2.187 | 1.857 | 2.242 | 1.319
COVID19 (COVID19 (JANSSEN)) | Basophil percentage decreased | 1.74 | 1.349 | 0.94 | 0.616 |  | 0.337 | 1.084 | 2.226 | 1.77 | 2.121 | 1.322
COVID19 (COVID19 (JANSSEN)) | Blood albumin decreased | 1.835 | 1.271 | 0.934 |  |  | 0.348 | 1.506 | 1.861 | 1.767 | 2.176 | 1.429
COVID19 (COVID19 (JANSSEN)) | Blood calcium decreased | 1.868 | 1.339 | 0.959 |  |  | 0.401 | 1.36 | 2.072 | 1.907 | 2.178 | 1.521
COVID19 (COVID19 (JANSSEN)) | Blood chloride decreased | 1.868 | 1.247 | 0.923 |  |  |  | 1.108 | 2.028 | 1.595 | 1.935 | 1.593
COVID19 (COVID19 (JANSSEN)) | Blood chloride increased | 1.797 | 1.284 | 0.964 |  |  | 0.498 | 1.233 | 1.962 | 1.855 | 2.123 | 1.348
COVID19 (COVID19 (JANSSEN)) | Blood fibrinogen | 1.951 | 1.286 | 0.868 |  |  | 0.576 | 0.928 | 2.161 | 0.655 | 1.827 | 1.203
COVID19 (COVID19 (JANSSEN)) | Blood fibrinogen decreased | 2.787 | 2.158 | 0.895 |  |  | 0.498 | 1.741 | 2.034 | 0.955 | 4.045 | 1.027
COVID19 (COVID19 (JANSSEN)) | Blood lactate dehydrogenase increased | 1.711 | 1.245 | 0.895 | 0.619 |  |  | 1.184 | 2.05 | 1.307 | 1.758 | 1.426
COVID19 (COVID19 (JANSSEN)) | Blood magnesium increased | 1.769 | 1.263 | 0.919 |  |  | 0.163 | 1.102 | 1.885 | 1.754 | 2.291 | 1.214
COVID19 (COVID19 (JANSSEN)) | Blood potassium decreased | 1.706 | 1.22 | 0.943 |  |  | 0.549 | 1.254 | 1.485 | 2.089 | 1.901 | 1.253
COVID19 (COVID19 (JANSSEN)) | Blood sodium decreased | 1.836 | 1.302 | 0.899 | 0.616 |  |  | 1.386 | 2.016 | 1.739 | 1.97 | 1.607
COVID19 (COVID19 (JANSSEN)) | Blood sodium increased | 1.648 | 1.092 | 0.926 |  |  |  | 1.707 | 1.359 | 1.189 | 2.015 | 1.047
COVID19 (COVID19 (JANSSEN)) | Blood urea decreased | 1.666 | 1.325 | 0.888 |  |  | 0.284 | 1.371 | 1.944 | 1.291 | 2.023 | 0.926
